stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,fidelity_median,fidelity_iqr,abs_delta_median,edges_selected_median,feats_selected_median,runtime_sec,n_nodes_evaluated,n_nodes_requested,n_failures,fidelity_std,seed_runs,selection_sum,nodes_with_variability,mask_var_median,mask_var_iqr,mask_var_std,feature_mask_var_median,edge_mask_var_median,node_seed_runs_min
B,1e-12,1e-12,0.01,0.0001,0.01,150,0.049231456592679024,0.7798492042347789,0.041892276145517826,8.5,6.0,46.5457700000843,30.0,30.0,0.0,0.0011644113508275946,5,14.5,30,0.04827638384058475,0.029645018705494262,0.02605552230332962,0.004474400695318317,0.07838007387746296,5.0
B,1e-12,1e-12,0.01,0.001,0.01,150,0.049231456592679024,0.7803736571222544,0.041892276145517826,8.5,6.0,45.09617829998024,30.0,30.0,0.0,0.0012014347803224834,5,14.5,30,0.048325637561192,0.029659618432099234,0.0260658457037011,0.004350982585609902,0.07838921084884393,5.0
B,1e-12,1e-12,0.0001,0.001,0.01,150,0.049005127511918545,0.6617521145381033,0.041363729164004326,7.5,12.0,45.1647774000885,30.0,30.0,0.0,0.0024443170480257514,5,19.5,30,0.04980962321109277,0.023575323074503593,0.021980294273742807,0.022137172293385528,0.07885824716212825,5.0
B,1e-12,1e-12,1e-06,0.1,0.01,150,0.0489168344065547,0.5767599884420633,0.04557556286454201,7.0,12.0,44.71920259995386,30.0,30.0,0.0,0.00411909349799243,5,19.0,30,0.05144715954702336,0.031642423406538174,0.024167695614411493,0.03788628843343157,0.06473726165578712,5.0
B,1e-12,1e-12,1e-05,0.1,0.01,150,0.0489168344065547,0.5767599884420633,0.04557556286454201,7.0,12.0,44.85866519995034,30.0,30.0,0.0,0.00411909349799243,5,19.0,30,0.051447117951066546,0.03164088813765077,0.02416929532662481,0.0378863706326297,0.06473944661909234,5.0
B,1e-12,1e-12,0.0001,0.1,0.01,150,0.0489168344065547,0.5767599884420633,0.04581253603100777,7.0,12.0,45.19374410004821,30.0,30.0,0.0,0.00411909349799243,5,19.0,30,0.0514335278495425,0.030966662332595568,0.02412251217329228,0.03788819845049214,0.06429080446006254,5.0
B,1e-12,1e-12,0.001,1e-06,0.01,150,0.04868760146200657,0.6587928254157305,0.04124518483877182,8.5,10.0,45.03753090009559,30.0,30.0,0.0,0.0029082244965258994,5,18.5,30,0.04913438613069976,0.02794545477987586,0.02461509423326725,0.011392971024140556,0.0846660448838982,5.0
B,1e-12,1e-12,0.001,1e-05,0.01,150,0.04868760146200657,0.6587928254157305,0.04124518483877182,8.5,10.0,45.15812000003643,30.0,30.0,0.0,0.0029082244965258994,5,18.5,30,0.04913439492387646,0.027945323384243492,0.02461377333832404,0.011395433083759243,0.0846924289468243,5.0
B,1e-12,1e-12,0.001,0.1,0.01,150,0.04851933661848307,0.5767599884420633,0.04521096870303154,7.0,12.0,45.09735890000593,30.0,30.0,0.0,0.004197314774477018,5,19.0,30,0.04971071991453964,0.029208604720521142,0.02320078692134832,0.032052940426592985,0.06496304029709793,5.0
B,1e-12,1e-12,1.0,1e-06,0.01,150,0.04849093500524759,0.8369607040658593,0.040864729322493076,8.0,1.0,45.00953979999758,30.0,30.0,0.0,0.002537035697554495,5,9.0,30,0.04714944116552291,0.05105172809398975,0.029465210897692,0.004945440994119482,0.08774727232665297,5.0
B,1e-12,1e-12,1.0,1e-05,0.01,150,0.04849093500524759,0.8369607040658593,0.040864729322493076,8.0,1.0,45.330842999974266,30.0,30.0,0.0,0.002537035697554495,5,9.0,30,0.04714944713020763,0.051051735592959537,0.02946521011393974,0.004945415763927699,0.08774728581089031,5.0
B,1e-12,1e-12,1.0,0.0001,0.01,150,0.04849093500524759,0.8369607040658593,0.040864729322493076,8.0,1.0,45.664242800092325,30.0,30.0,0.0,0.002537035697554495,5,9.0,30,0.0471495145901111,0.05105119688656773,0.029465011720321406,0.004945165469726471,0.0877474557137389,5.0
B,1e-12,1e-12,1.0,0.001,0.01,150,0.04849093500524759,0.8369607040658593,0.040864729322493076,8.0,1.0,45.647774500073865,30.0,30.0,0.0,0.002537035697554495,5,9.0,30,0.04715137457878617,0.051052554724099114,0.029462301093151108,0.004942652572351236,0.08775114740695339,5.0
B,1e-12,1e-12,1.0,0.01,0.01,150,0.04849093500524759,0.8369607040658593,0.040864729322493076,8.0,1.0,45.13466280000284,30.0,30.0,0.0,0.002537035697554495,5,9.0,30,0.04716874372321955,0.05106160277518799,0.029461414614219736,0.004917775472914238,0.08778819638689644,5.0
B,1e-12,1e-12,1.0,0.1,0.01,150,0.0483150752261281,0.8353588292375207,0.040864729322493076,8.0,1.0,45.055044499924406,30.0,30.0,0.0,0.002552000908263149,5,9.0,30,0.04724627008018155,0.05117077508429764,0.029483945714118515,0.004696738930519991,0.088055397882074,5.0
