stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,seed,fidelity_median,fidelity_iqr,abs_delta_median,edges_selected_median,feats_selected_median,runtime_sec,n_nodes_evaluated,n_nodes_requested,n_failures,error_top_reason,error_top_count,error_first_message,fallback_model_target_count
A,0.0001,1e-06,1e-12,1e-12,0.01,150,2,0.04636653698980808,0.6503284722566605,0.041306786239147186,4.0,12.0,45.69418809993658,30,30,0,,0,,0
A,0.0001,1e-06,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.6687776413746178,0.04027684684842825,5.0,12.5,45.59057399991434,30,30,0,,0,,0
A,0.0001,1e-06,1e-12,1e-12,0.01,150,4,0.04372336529195309,0.6263195453211665,0.03849233128130436,5.0,12.5,45.481671300018206,30,30,0,,0,,0
A,0.0001,1e-05,1e-12,1e-12,0.01,150,0,0.045775447972118855,0.7808154099620879,0.03852792922407389,4.0,13.0,45.28682299994398,30,30,0,,0,,0
A,0.0001,1e-05,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.7949385344982147,0.03818805329501629,3.5,12.5,45.15059800003655,30,30,0,,0,,0
A,0.0001,1e-05,1e-12,1e-12,0.01,150,2,0.04636653698980808,0.6503284722566605,0.041306786239147186,4.0,12.0,59.51733089995105,30,30,0,,0,,0
A,0.0001,1e-05,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.6687776413746178,0.04027684684842825,5.0,12.5,45.849932799930684,30,30,0,,0,,0
A,0.0001,1e-05,1e-12,1e-12,0.01,150,4,0.04372336529195309,0.6263195453211665,0.03849233128130436,5.0,12.5,45.103407800081186,30,30,0,,0,,0
A,0.0001,0.0001,1e-12,1e-12,0.01,150,0,0.045775447972118855,0.7814731504768133,0.03852792922407389,4.0,13.0,45.0998813000042,30,30,0,,0,,0
A,0.0001,0.0001,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.7949488880112767,0.03818805329501629,4.0,12.5,44.62552050000522,30,30,0,,0,,0
A,0.0001,0.0001,1e-12,1e-12,0.01,150,2,0.04636653698980808,0.6503284722566605,0.041306786239147186,4.5,12.5,44.75097240007017,30,30,0,,0,,0
A,0.0001,0.0001,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.6686171130277216,0.04027684684842825,5.0,12.5,44.848593699978665,30,30,0,,0,,0
A,0.0001,0.0001,1e-12,1e-12,0.01,150,4,0.04372336529195309,0.6263200216926634,0.03849233128130436,5.0,12.5,44.63079760002438,30,30,0,,0,,0
A,0.0001,0.001,1e-12,1e-12,0.01,150,0,0.045775447972118855,0.7742263954132795,0.03852792922407389,5.0,12.5,44.98073139996268,30,30,0,,0,,0
A,0.0001,0.001,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.7212938466109335,0.03818805329501629,5.0,12.5,44.53412500000559,30,30,0,,0,,0
A,0.0001,0.001,1e-12,1e-12,0.01,150,2,0.04206516407430172,0.7490779794752598,0.03700541332364082,5.5,12.5,44.81616549997125,30,30,0,,0,,0
A,0.0001,0.001,1e-12,1e-12,0.01,150,3,0.048938690684735775,0.8304233816452324,0.04027684684842825,5.5,12.5,44.61656260001473,30,30,0,,0,,0
A,0.0001,0.001,1e-12,1e-12,0.01,150,4,0.04372336529195309,0.6329388665035367,0.03849233128130436,5.0,13.0,44.54448239994235,30,30,0,,0,,0
A,0.0001,0.01,1e-12,1e-12,0.01,150,0,0.04042753670364618,0.607330933213234,0.03787918481975794,6.5,12.5,44.540948200039566,30,30,0,,0,,0
A,0.0001,0.01,1e-12,1e-12,0.01,150,1,0.0479557728394866,0.7446510316804051,0.039966643787920475,6.5,12.0,44.59069169999566,30,30,0,,0,,0
A,0.0001,0.01,1e-12,1e-12,0.01,150,2,0.041270941495895386,0.6000841706991196,0.03589385747909546,6.0,12.0,44.899033099994995,30,30,0,,0,,0
A,0.0001,0.01,1e-12,1e-12,0.01,150,3,0.02706918492913246,0.855156946927309,0.02706918492913246,7.0,13.0,44.84077580005396,30,30,0,,0,,0
A,0.0001,0.01,1e-12,1e-12,0.01,150,4,0.039045585319399834,0.6325851236470044,0.036223188042640686,7.5,12.0,44.82499100000132,30,30,0,,0,,0
A,0.0001,0.1,1e-12,1e-12,0.01,150,0,0.0300394706428051,0.6230279593728483,0.024914709851145744,6.5,12.5,44.66136190004181,30,30,0,,0,,0
