stage,edge_size,edge_ent,node_feat_size,node_feat_ent,lr,epochs,graph_idx,node_type,node_idx,target_value,seed_runs,feature_mask_var_mean,edge_mask_var_mean,mask_var_mean
A,0.0001,0.0001,1e-12,1e-12,0.01,150,650,H,12,-0.10497073829174042,5,0.003544420605808993,0.004483517435748326,0.004013969020778659
A,1e-05,1e-05,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007262578096444422,0.0007894231833707009,0.004026000639907562
A,1e-05,0.0001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.0072649196957214595,0.0007891165930750787,0.004027018144398269
A,1e-05,0.001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007285175855070493,0.0007700137851597334,0.004027594820115114
A,1e-06,0.0001,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007266617959731888,0.0007891536548815737,0.004027885807306731
A,1e-05,1e-06,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007268736469447653,0.0007897725251230271,0.00402925449728534
A,1e-06,1e-06,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.007276427645248854,0.0007902391943034104,0.004033333419776132
A,1e-06,1e-05,1e-12,1e-12,0.01,150,610,H,6,-0.14696994423866272,5,0.00728525526142317,0.0007904139093707841,0.004037834585396977
A,0.1,0.01,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0021134132666542796,0.006196159004452851,0.0041547861355535655
A,0.1,0.001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0021142143199775073,0.006299437812306623,0.004206826066142065
A,0.1,0.0001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0021145865574768966,0.0063098578940822495,0.004212222225779573
A,0.01,0.001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0021113168417368354,0.006313235800183658,0.004212276320960247
A,0.1,1e-05,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0021146010277878916,0.006310901166688083,0.0042127510972379874
A,0.1,1e-06,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.0021146021510739027,0.006311007680631589,0.004212804915852746
A,0.01,0.0001,1e-12,1e-12,0.01,150,380,H,2,-0.11749634146690369,5,0.002113041289752054,0.006419374095951803,0.004266207692851929
