graph_idx,compound,target_node_type,node_idx,feature_source_type,feature_idx,feature_importance_mean,feature_variance
0,1,H,0,H,19,0.093161757538716,1.7411244359374003e-06
0,1,H,0,H,20,0.09632469390829404,2.0965729580403216e-05
0,1,H,0,H,21,0.09609838426113129,8.866558792159682e-06
0,1,H,0,H,22,0.09674638857444127,8.824472852211813e-06
0,1,H,0,H,23,0.0984179511666298,1.2484032746976017e-05
0,1,H,0,H,24,0.09460936387379966,1.0896074361240615e-05
0,1,H,0,H,25,0.0931248736878236,3.2284888956830204e-06
0,1,H,0,H,26,0.09676525716980298,2.5378633894223143e-05
0,1,H,0,H,27,0.09463701993227006,5.7933195390308954e-06
0,1,H,0,H,28,0.09414322227239609,5.571937864650391e-06
0,1,H,0,H,29,0.09701208646098772,8.778029714607961e-06
0,1,H,0,H,30,0.09501115332047144,1.716624552620388e-05
0,1,H,0,H,31,0.09510220785935719,1.3915228733121234e-05
0,1,H,0,H,32,0.09441953599452972,1.0578860206326296e-05
0,1,H,0,C,0,0.0,0.0
0,1,H,0,C,1,0.08738116145133971,4.926839875116681e-06
0,1,H,0,C,2,0.0,0.0
0,1,H,0,C,3,0.0,0.0
0,1,H,0,C,4,0.0,0.0
0,1,H,0,C,5,0.0,0.0
0,1,H,0,C,6,0.0,0.0
0,1,H,0,C,7,0.0,0.0
0,1,H,0,C,8,0.0,0.0
0,1,H,0,C,9,0.0,0.0
0,1,H,0,C,10,0.0,0.0
0,1,H,0,C,11,0.0,0.0
0,1,H,0,C,12,0.0,0.0
0,1,H,0,C,13,0.08472992599010468,1.4578957467236375e-06
0,1,H,0,C,14,0.0,0.0
0,1,H,0,C,15,0.0874646997451782,4.474436375870273e-06
0,1,H,0,C,16,0.0831914508342743,8.58593799893159e-06
0,1,H,0,C,17,0.08663566410541536,8.791201205642785e-06
0,1,H,0,C,18,0.08807052403688431,2.583712497874872e-05
0,1,H,0,C,19,0.08387845635414123,1.1767992198299745e-05
0,1,H,0,C,20,0.08419695675373078,1.2500762227505655e-05
0,1,H,0,C,21,0.08403537184000014,7.567990020127621e-06
0,1,H,0,C,22,0.086862713098526,4.445525276409515e-06
0,1,H,0,C,23,0.08502026736736298,1.0234710055618009e-05
0,1,H,0,C,24,0.0876573097705841,5.900272800085556e-06
0,1,H,0,C,25,0.08504687070846557,9.955616979150521e-06
0,1,H,0,C,26,0.08400868594646453,1.0766934216560737e-05
0,1,H,0,C,27,0.08186443269252777,4.23644274923376e-06
0,1,H,0,C,28,0.08578536152839661,3.5666389246863157e-06
0,1,H,0,C,29,0.08639217972755434,6.598468636665444e-06
0,1,H,0,C,30,0.08479570746421813,6.722395580446522e-06
0,1,H,0,C,31,0.08339867591857911,8.972305681496076e-06
0,1,H,0,C,32,0.08449441283941268,5.8629053530104605e-06
0,1,H,0,C,33,0.08736501872539522,9.452336531475674e-06
0,1,H,0,C,34,0.08612459838390352,5.035674649204935e-06
0,1,H,0,C,35,0.0852316004037857,1.9014093758954645e-06
0,1,H,0,C,36,0.08528017699718474,1.3036452348604404e-05
0,1,H,0,C,37,0.08688247025012971,5.45038954412504e-06
0,1,H,0,C,38,0.08572438836097716,2.9434695382008257e-06
0,1,H,1,H,0,0.09686200718084971,3.219121637104227e-05
0,1,H,1,H,1,0.0,0.0
0,1,H,1,H,2,0.0,0.0
0,1,H,1,H,3,0.0,0.0
0,1,H,1,H,4,0.0,0.0
0,1,H,1,H,5,0.0,0.0
0,1,H,1,H,6,0.0,0.0
0,1,H,1,H,7,0.0,0.0
0,1,H,1,H,8,0.0,0.0
0,1,H,1,H,9,0.0,0.0
0,1,H,1,H,10,0.0,0.0
0,1,H,1,H,11,0.0,0.0
0,1,H,1,H,12,0.0,0.0
0,1,H,1,H,13,0.09453210855523746,3.7549602197101743e-06
0,1,H,1,H,14,0.0,0.0
0,1,H,1,H,15,0.09546464681625366,3.3902911237479645e-06
0,1,H,1,H,16,0.0940575934946537,5.34404546396072e-06
0,1,H,1,H,17,0.09460576971371969,1.6773861379057773e-06
0,1,H,1,H,18,0.09053090463081995,2.72746002176564e-06
0,1,H,1,H,19,0.0955581709742546,5.441363342507543e-06
0,1,H,1,H,20,0.09880457073450089,1.3576603241855558e-05
0,1,H,1,H,21,0.09668224851290384,2.074225489734941e-05
0,1,H,1,H,22,0.0962311178445816,5.6545229815821124e-06
0,1,H,1,H,23,0.09618288973967234,2.995569668348743e-06
0,1,H,1,H,24,0.09219034214814505,1.1619877269266598e-05
0,1,H,1,H,25,0.09459335431456566,5.263136556862894e-06
0,1,H,1,H,26,0.09586799591779709,1.0738750796568133e-05
0,1,H,1,H,27,0.09336155802011491,3.986075132701809e-06
0,1,H,1,H,28,0.09464728658397993,1.2779691701540047e-05
0,1,H,1,H,29,0.09455193852384886,2.9727390537612317e-07
0,1,H,1,H,30,0.09324661294619242,3.239298717201172e-06
0,1,H,1,H,31,0.09656437685092291,1.2481255278110717e-05
0,1,H,1,H,32,0.09362095942099889,2.3081670409198634e-06
0,1,H,1,C,0,0.0,0.0
0,1,H,1,C,1,0.08794616341590882,3.615112975923996e-06
0,1,H,1,C,2,0.0,0.0
0,1,H,1,C,3,0.0,0.0
0,1,H,1,C,4,0.0,0.0
0,1,H,1,C,5,0.0,0.0
0,1,H,1,C,6,0.0,0.0
0,1,H,1,C,7,0.0,0.0
0,1,H,1,C,8,0.0,0.0
0,1,H,1,C,9,0.0,0.0
0,1,H,1,C,10,0.0,0.0
0,1,H,1,C,11,0.0,0.0
0,1,H,1,C,12,0.0,0.0
0,1,H,1,C,13,0.08410471439361572,4.728073988123776e-06
0,1,H,1,C,14,0.0,0.0
0,1,H,1,C,15,0.08358167707920074,8.468854119687552e-06
0,1,H,1,C,16,0.08568568348884582,2.133665218296199e-05
0,1,H,1,C,17,0.08327578604221345,6.595631418353062e-06
0,1,H,1,C,18,0.08458305150270462,3.0770849775976215e-05
0,1,H,1,C,19,0.08662045657634734,1.1624589125226267e-06
0,1,H,1,C,20,0.08396493047475814,2.5663108118774057e-06
0,1,H,1,C,21,0.08661026746034621,8.286918869435305e-06
0,1,H,1,C,22,0.08503777354955673,9.576462572529096e-06
0,1,H,1,C,23,0.08520528972148894,1.5466347004544196e-05
0,1,H,1,C,24,0.083785560131073,3.3633217812841564e-06
0,1,H,1,C,25,0.08601283013820647,9.237677663359275e-06
