target_node_type, feature_source_type, feature_idx, feature_importance_mean, feature_importance_median, feature_importance_std, feature_variance_mean , feature_variance_median, feature_variance_std  , n_node_entries, feature_name     , feature_label
C               , H                  ,           2,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, Li               , H:Li
C               , H                  ,           3,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, B                , H:B
C               , H                  ,           4,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, N                , H:N
C               , H                  ,           5,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, O                , H:O
C               , H                  ,           6,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, Na               , H:Na
C               , H                  ,           7,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, Mg               , H:Mg
C               , H                  ,           8,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, Al               , H:Al
C               , H                  ,           9,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, Si               , H:Si
C               , H                  ,          10,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, P                , H:P
C               , H                  ,          11,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, S                , H:S
C               , H                  ,          12,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, Cl               , H:Cl
C               , H                  ,          14,     0.0                ,       0.0                ,   0.0                 , 0.0                   , 0.0                    , 0.0                   ,            308, formal_charge    , H:formal_charge
H               , C                  ,          16,     0.12857525642501566,       0.13944987580180168,   0.04161524906656182 , 0.00026313929461274226, 1.3566288757351773e-05 , 0.0012690388926313097 ,            487, shift_low        , C:shift_low
H               , C                  ,          19,     0.1284758085839161 ,       0.13951449453830717,   0.04053496653153519 , 0.00027442557763845477, 1.3237612889834826e-05 , 0.0012831240674232    ,            487, shielding_para   , C:shielding_para
H               , C                  ,          25,     0.12229997667551647,       0.13922246880829334,   0.02787087090633875 , 5.739854819675417e-05 , 1.100194435435851e-05  , 0.0006707925441967053 ,            487, at_charge_loew   , C:at_charge_loew
H               , C                  ,          15,     0.12157306064116231,       0.13869444489479063,   0.02523052930824198 , 2.557889245758674e-05 , 1.2126017127581656e-05 , 0.00015312999832460558,            487, degree           , C:degree
H               , C                  ,          18,     0.12141410122297604,       0.13686659038066865,   0.027377720690325198, 4.242039883083943e-05 , 1.1934449144661155e-05 , 0.00033292350195061394,            487, shielding_dia    , C:shielding_dia
H               , C                  ,          23,     0.12140062454705428,       0.13777871243655682,   0.026665979884445544, 4.632605888936541e-05 , 1.060169113000442e-05  , 0.0004728532112395533 ,            487, anisotropy       , C:anisotropy
H               , C                  ,          31,     0.12128024883507456,       0.137866069873174  ,   0.026351460988313494, 2.659906941679398e-05 , 1.184098144174972e-05  , 0.00019432250757578346,            487, orb_charge_loew_p, C:orb_charge_loew_p
H               , C                  ,          33,     0.12127676433476638,       0.1381414331495762 ,   0.026286655857138533, 3.4894807394960475e-05, 1.048319174169874e-05  , 0.0002486582717086394 ,            487, orb_stdev_loew_p , C:orb_stdev_loew_p
H               , C                  ,          17,     0.12120530812961666,       0.1384801235049963 ,   0.025094185016651314, 1.5497656077869493e-05, 1.1726466276709146e-05 , 1.4397255888126031e-05,            487, CN(X)            , C:CN(X)
H               , C                  ,          20,     0.12097328958739482,       0.138228577375412  ,   0.025272045899280657, 1.7493280507544045e-05, 1.0566743391638862e-05 , 5.764423036944016e-05 ,            487, span             , C:span
H               , C                  ,          28,     0.12096516431347985,       0.13847370535135267,   0.025219545057685634, 1.6027345841161228e-05, 1.1087054870446146e-05 , 1.576097141781377e-05 ,            487, orb_charge_mull_d, C:orb_charge_mull_d
H               , C                  ,          34,     0.12090677142759214,       0.13803058862686157,   0.025498925534299777, 1.5429581262107925e-05, 1.0937138443512865e-05 , 1.5701477023111408e-05,            487, BO_loew_sum      , C:BO_loew_sum
H               , C                  ,          29,     0.12088803579232522,       0.13800295094648998,   0.025161906762855357, 1.6132776664926474e-05, 1.1943495893002443e-05 , 1.3902353325172287e-05,            487, orb_stdev_mull_p , C:orb_stdev_mull_p
H               , C                  ,          30,     0.12086245772000166,       0.1382712498307228 ,   0.024989780975017768, 2.377264238391964e-05 , 1.0721124289259365e-05 , 0.00018076428615755187,            487, orb_charge_loew_s, C:orb_charge_loew_s
H               , C                  ,          37,     0.12084347225351191,       0.13763106465339664,   0.025179736280458217, 1.5098946018307919e-05, 1.0780029669901215e-05 , 1.510673722442092e-05 ,            487, BO_mayer_av      , C:BO_mayer_av
