graph_idx,node_type,node_idx,method,sparsity_target,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_edges_considered,k_edges,actual_sparsity_edge,grid_run_id,mask_variant,sparsity_target_requested
360,C,1,gnnexplainer,0.5,-14.09076976776123,-9.048866271972656,-15.736958503723145,-14.111479759216309,0.020709991455078125,5.062613487243652,1.625478744506836,5.041903495788574,1.646188735961914,5.041903495788574,1.6047687530517578,24,12,0.5,run_01_s50_zero,zero,0.5
360,C,2,gnnexplainer,0.5,-11.013855934143066,-6.444278240203857,-8.460820198059082,-9.470762252807617,1.5430936813354492,3.0264840126037598,1.0099420547485352,4.569577693939209,2.5530357360839844,1.4833903312683105,-0.5331516265869141,24,12,0.5,run_01_s50_zero,zero,0.5
360,C,3,gnnexplainer,0.5,-1.671934723854065,-2.4030649662017822,-1.9882062673568726,-1.504056692123413,0.16787803173065186,0.8990082740783691,0.4841495752334595,0.7311302423477173,0.3162715435028076,0.7311302423477173,0.3162715435028076,24,12,0.5,run_01_s50_zero,zero,0.5
380,H,0,gnnexplainer,0.5,-0.13993945717811584,-0.06616917252540588,-0.13492073118686676,-0.11915438622236252,0.020785070955753326,0.052985213696956635,0.015766344964504242,0.07377028465270996,0.0050187259912490845,0.03220014274120331,-0.0050187259912490845,24,12,0.5,run_01_s50_zero,zero,0.5
380,H,1,gnnexplainer,0.5,-0.13264447450637817,-0.06735368072986603,-0.15182292461395264,-0.1529437154531479,0.020299240946769714,0.08559003472328186,0.0011207908391952515,0.06529079377651215,0.019178450107574463,0.06529079377651215,-0.019178450107574463,24,12,0.5,run_01_s50_zero,zero,0.5
380,H,2,gnnexplainer,0.5,-0.13482002913951874,-0.07500732690095901,-0.1488458812236786,-0.11749634146690369,0.01732368767261505,0.04248901456594467,0.0313495397567749,0.05981270223855972,0.014025852084159851,0.02516532689332962,0.014025852084159851,24,12,0.5,run_01_s50_zero,zero,0.5
380,H,3,gnnexplainer,0.5,-0.1763220578432083,-0.11492427438497543,-0.19601988792419434,-0.2253120243549347,0.04898996651172638,0.11038774996995926,0.029292136430740356,0.06139778345823288,0.019697830080986023,0.06139778345823288,-0.019697830080986023,24,12,0.5,run_01_s50_zero,zero,0.5
380,H,4,gnnexplainer,0.5,-0.17767122387886047,-0.11188443750143051,-0.1707497239112854,-0.19009250402450562,0.012421280145645142,0.0782080665230751,0.019342780113220215,0.06578678637742996,0.006921499967575073,0.06578678637742996,0.006921499967575073,24,12,0.5,run_01_s50_zero,zero,0.5
380,H,5,gnnexplainer,0.5,-0.019281115382909775,-0.021674510091543198,-0.0374264121055603,0.054915860295295715,0.07419697567820549,0.07659037038683891,0.09234227240085602,0.002393394708633423,0.018145296722650528,0.002393394708633423,0.018145296722650528,24,12,0.5,run_01_s50_zero,zero,0.5
380,H,6,gnnexplainer,0.5,-0.02779546007514,-0.039669692516326904,-0.02072720229625702,-0.026584316045045853,0.0012111440300941467,0.013085376471281052,0.005857113748788834,0.011874232441186905,0.00706825777888298,0.011874232441186905,0.004645969718694687,24,12,0.5,run_01_s50_zero,zero,0.5
