graph_idx,node_type,node_idx,method,sparsity_target,mask_baseline_mode,ig_baseline_mode,pred_orig,pred_drop,pred_keep,target,error_orig,error_drop,error_keep,fid_plus_model,fid_minus_model,fid_plus_error_delta,fid_minus_error_delta,n_features,k_features,actual_sparsity_feat,n_features_target,k_features_target,grid_run_id,mask_variant,sparsity_target_requested
170,C,5,gnnexplainer,0.5,zero,scientific,-2.0526702404022217,-4.553173542022705,-0.9705049395561218,-2.174614429473877,0.12194418907165527,2.378559112548828,1.2041094899177551,2.5005033016204834,1.0821653008460999,2.256614923477173,1.0821653008460999,662,340,0.48640483383685795,39,20,run_01_s50_zero,zero,0.5
170,C,5,integrated_gradients,0.5,zero,scientific,-2.0526702404022217,-4.197549343109131,-1.5207890272140503,-2.174614429473877,0.12194418907165527,2.022934913635254,0.6538254022598267,2.144879102706909,0.5318812131881714,1.9009907245635986,0.5318812131881714,662,340,0.48640483383685795,39,20,run_01_s50_zero,zero,0.5
270,H,0,gnnexplainer,0.5,zero,scientific,-0.06326740980148315,-0.1673675775527954,-0.04803621023893356,-0.04426804184913635,0.018999367952346802,0.12309953570365906,0.0037681683897972107,0.10410016775131226,0.015231199562549591,0.10410016775131226,-0.015231199562549591,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,0,integrated_gradients,0.5,zero,scientific,-0.06326740980148315,-0.1137065589427948,-0.06949402391910553,-0.04426804184913635,0.018999367952346802,0.06943851709365845,0.025225982069969177,0.050439149141311646,0.0062266141176223755,0.050439149141311646,0.0062266141176223755,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,1,gnnexplainer,0.5,zero,scientific,-0.06325238198041916,-0.19034028053283691,-0.014087744057178497,-0.04426804184913635,0.018984340131282806,0.14607223868370056,0.030180297791957855,0.12708789855241776,0.04916463792324066,0.12708789855241776,0.011195957660675049,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,1,integrated_gradients,0.5,zero,scientific,-0.06325238198041916,-0.1137065589427948,-0.06949188560247421,-0.04426804184913635,0.018984340131282806,0.06943851709365845,0.02522384375333786,0.05045417696237564,0.006239503622055054,0.05045417696237564,0.006239503622055054,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,2,gnnexplainer,0.5,zero,scientific,-0.11182482540607452,-0.047200851142406464,-0.2060740888118744,-0.1254609227180481,0.013636097311973572,0.07826007157564163,0.0806131660938263,0.06462397426366806,0.09424926340579987,0.06462397426366806,0.06697706878185272,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,2,integrated_gradients,0.5,zero,scientific,-0.11182482540607452,-0.08943310379981995,-0.1421123743057251,-0.1254609227180481,0.013636097311973572,0.03602781891822815,0.016651451587677002,0.022391721606254578,0.030287548899650574,0.022391721606254578,0.00301535427570343,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,3,gnnexplainer,0.5,zero,scientific,-0.11181138455867767,-0.052448078989982605,-0.17424462735652924,-0.12491703033447266,0.013105645775794983,0.07246895134449005,0.04932759702205658,0.05936330556869507,0.06243324279785156,0.05936330556869507,0.0362219512462616,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,3,integrated_gradients,0.5,zero,scientific,-0.11181138455867767,-0.08943310379981995,-0.1420961618423462,-0.12491703033447266,0.013105645775794983,0.03548392653465271,0.017179131507873535,0.022378280758857727,0.030284777283668518,0.022378280758857727,0.004073485732078552,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,4,gnnexplainer,0.5,zero,scientific,-0.11182227730751038,-0.10745938122272491,-0.19460910558700562,-0.12646092474460602,0.014638647437095642,0.019001543521881104,0.0681481808423996,0.004362896084785461,0.08278682827949524,0.004362896084785461,0.053509533405303955,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,4,integrated_gradients,0.5,zero,scientific,-0.11182227730751038,-0.09740705043077469,-0.13348883390426636,-0.12646092474460602,0.014638647437095642,0.02905387431383133,0.007027909159660339,0.014415226876735687,0.02166655659675598,0.014415226876735687,-0.007610738277435303,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,5,gnnexplainer,0.5,zero,scientific,-0.11181676387786865,-0.09945464879274368,-0.1864652931690216,-0.12591703236103058,0.014100268483161926,0.026462383568286896,0.06054826080799103,0.01236211508512497,0.07464852929115295,0.01236211508512497,0.0464479923248291,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,H,5,integrated_gradients,0.5,zero,scientific,-0.11181676387786865,-0.09740705043077469,-0.13348016142845154,-0.12591703236103058,0.014100268483161926,0.02850998193025589,0.0075631290674209595,0.014409713447093964,0.021663397550582886,0.014409713447093964,-0.006537139415740967,370,190,0.4864864864864865,33,17,run_01_s50_zero,zero,0.5
270,C,0,gnnexplainer,0.5,zero,scientific,-0.8327508568763733,-4.328091144561768,-0.8137463927268982,-0.4850490391254425,0.3477018177509308,3.843042105436325,0.3286973536014557,3.4953402876853943,0.019004464149475098,3.4953402876853943,-0.019004464149475098,370,190,0.4864864864864865,39,20,run_01_s50_zero,zero,0.5
270,C,0,integrated_gradients,0.5,zero,scientific,-0.8327508568763733,-5.41610860824585,-0.46111440658569336,-0.4850490391254425,0.3477018177509308,4.931059569120407,0.023934632539749146,4.583357751369476,0.37163645029067993,4.583357751369476,-0.32376718521118164,370,190,0.4864864864864865,39,20,run_01_s50_zero,zero,0.5
270,C,1,gnnexplainer,0.5,zero,scientific,-3.084488868713379,-5.79083776473999,-1.7416304349899292,-2.464503288269043,0.6199855804443359,3.3263344764709473,0.7228728532791138,2.7063488960266113,1.3428584337234497,2.7063488960266113,0.10288727283477783,370,190,0.4864864864864865,39,20,run_01_s50_zero,zero,0.5
270,C,1,integrated_gradients,0.5,zero,scientific,-3.084488868713379,-4.70361852645874,-2.9400620460510254,-2.464503288269043,0.6199855804443359,2.2391152381896973,0.4755587577819824,1.6191296577453613,0.14442682266235352,1.6191296577453613,-0.14442682266235352,370,190,0.4864864864864865,39,20,run_01_s50_zero,zero,0.5
270,C,2,gnnexplainer,0.5,zero,scientific,-14.785540580749512,-4.915523052215576,-19.701372146606445,-16.523923873901367,1.7383832931518555,11.608400821685791,3.177448272705078,9.870017528533936,4.915831565856934,9.870017528533936,1.4390649795532227,370,190,0.4864864864864865,39,20,run_01_s50_zero,zero,0.5
